0	1
seoul national university,seoul,KR	myongji university,yongin,KR
seoul national university,seoul,KR	myongji university,yongin,KR
seoul national university,seoul,KR	myongji university,yongin,KR
seoul national university,seoul,KR	myongji university,yongin,KR
seoul national university,seoul,KR	sejong university,seoul,KR
seoul national university,seoul,KR	sunchon national university,suncheon,KR
seoul national university,seoul,KR	dankook university,cheonan,KR
seoul national university,seoul,KR	soongsil university,seoul,KR
seoul national university,seoul,KR	soongsil university,seoul,KR
seoul national university,seoul,KR	soongsil university,seoul,KR
seoul national university,seoul,KR	soongsil university,seoul,KR
seoul national university,seoul,KR	korea university,seoul,KR
seoul national university,seoul,KR	korea university,seoul,KR
seoul national university,seoul,KR	korea university,seoul,KR
seoul national university,seoul,KR	sungkyunkwan university,suwon,KR
seoul national university,seoul,KR	sungkyunkwan university,suwon,KR
seoul national university,seoul,KR	sungkyunkwan university,suwon,KR
seoul national university,seoul,KR	sungkyunkwan university,suwon,KR
seoul national university,seoul,KR	sungkyunkwan university,suwon,KR
seoul national university,seoul,KR	sungkyunkwan university,suwon,KR
seoul national university,seoul,KR	sungkyunkwan university,suwon,KR
seoul national university,seoul,KR	pusan national university,busan,KR
seoul national university,seoul,KR	pusan national university,busan,KR
seoul national university,seoul,KR	pusan national university,busan,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	korea advanced institute of science and technology,daejeon,KR
seoul national university,seoul,KR	kyung hee university,seoul,KR
seoul national university,seoul,KR	kyung hee university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	seoul national university,seoul,KR
seoul national university,seoul,KR	ulsan national institute of science and technology,ulsan,KR
seoul national university,seoul,KR	ulsan national institute of science and technology,ulsan,KR
seoul national university,seoul,KR	ulsan national institute of science and technology,ulsan,KR
seoul national university,seoul,KR	ulsan national institute of science and technology,ulsan,KR
seoul national university,seoul,KR	ulsan national institute of science and technology,ulsan,KR
seoul national university,seoul,KR	ulsan national institute of science and technology,ulsan,KR
seoul national university,seoul,KR	ulsan national institute of science and technology,ulsan,KR
seoul national university,seoul,KR	chungbuk national university,cheongju,KR
seoul national university,seoul,KR	chungbuk national university,cheongju,KR
seoul national university,seoul,KR	chungbuk national university,cheongju,KR
seoul national university,seoul,KR	chungbuk national university,cheongju,KR
seoul national university,seoul,KR	chungbuk national university,cheongju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	chonnam national university,gwangju,KR
seoul national university,seoul,KR	kangwon national university,chuncheon,KR
seoul national university,seoul,KR	kangwon national university,chuncheon,KR
seoul national university,seoul,KR	konkuk university,seoul,KR
seoul national university,seoul,KR	konkuk university,seoul,KR
seoul national university,seoul,KR	konkuk university,seoul,KR
seoul national university,seoul,KR	konkuk university,seoul,KR
seoul national university,seoul,KR	konkuk university,seoul,KR
seoul national university,seoul,KR	konkuk university,seoul,KR
seoul national university,seoul,KR	kongju national university,gongju,KR
seoul national university,seoul,KR	daegu university,gyeongsan,KR
seoul national university,seoul,KR	daegu university,gyeongsan,KR
seoul national university,seoul,KR	mokpo national university,muan,KR
seoul national university,seoul,KR	hanyang university,seoul,KR
seoul national university,seoul,KR	hanyang university,seoul,KR
seoul national university,seoul,KR	hanyang university,seoul,KR
seoul national university,seoul,KR	hanyang university,seoul,KR
seoul national university,seoul,KR	hanyang university,seoul,KR
seoul national university,seoul,KR	hanyang university,seoul,KR
seoul national university,seoul,KR	ewha womans university,seoul,KR
seoul national university,seoul,KR	ewha womans university,seoul,KR
seoul national university,seoul,KR	konkuk university,chungju,KR
seoul national university,seoul,KR	gyeongsang national university,jinju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	jeonbuk national university,jeonju,KR
seoul national university,seoul,KR	chungnam national university,daejeon,KR
seoul national university,seoul,KR	chungnam national university,daejeon,KR
seoul national university,seoul,KR	chungnam national university,daejeon,KR
seoul national university,seoul,KR	chungnam national university,daejeon,KR
seoul national university,seoul,KR	chungnam national university,daejeon,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	pohang university of science and technology,pohang,KR
seoul national university,seoul,KR	hanyang university,ansan,KR
seoul national university,seoul,KR	hanyang university,ansan,KR
seoul national university,seoul,KR	gachon university,seongnam,KR
seoul national university,seoul,KR	gachon university,seongnam,KR
seoul national university,seoul,KR	kwangwoon university,seoul,KR
seoul national university,seoul,KR	kwangwoon university,seoul,KR
seoul national university,seoul,KR	gangneung-wonju national university,gangneung,KR
seoul national university,seoul,KR	hankuk university of foreign studies,seoul,KR
seoul national university,seoul,KR	hankuk university of foreign studies,seoul,KR
seoul national university,seoul,KR	sogang university,seoul,KR
seoul national university,seoul,KR	sogang university,seoul,KR
seoul national university,seoul,KR	university of seoul,seoul,KR
