0
gwangju institute of science and technology,gwangju,KR
chungbuk national university,cheongju,KR
seoul national university,seoul,KR
kyungpook national university,daegu,KR
sungshin women’s university,seoul,KR
chungbuk national university ,cheongju,KR
korea university,seoul,KR
korea advanced institute of science and technology,daejeon,KR
chung-ang university,seoul,KR
pohang university of science and technology,pohang,KR
university of southern california,los angeles,US
louisiana state university,baton rouge,US
friedrich schiller university,jena,DE
kyung hee university,seoul,KR
yonsei university,seoul,KR
chungnam national university,daejeon,KR
cornell university,ithaca,US
tufts university,medford,US
pai chai university,daejeon,KR 
university of california,davis,US
massachusetts institute of technology,cambridge,US
osaka university,osaka,JP
hannam university,daejeon,KR
university of tokyo,tokyo,JP
kangwon national university,chuncheon,KR
inha university,incheon,KR
changwon national university,changwon,KR
pusan national university,busan,KR
university of north carolina at chapel hill,chapel hill,US
sungkyunkwan university,suwon,KR
florida state university,tallahassee,US
university of london,london,UK
daegu gyeongbuk institute of science and technology,daegu,KR
california institute of technology,pasadena,US
rutgers university,new brunswick,US
university of texas southwestern medical center,dallas,US
university of virginia,charlottesville,US
harvard university,cambridge,US
university of maryland,baltimore,US
weizmann institute of science,rehovot,IL
state university of new york,new york,US
university of california,santa barbara,US
university of california,los angeles,US
gyeongsang national university,jinju,KR
chung-ang university,anseong,KR
the ohio state university,columbus,US
university of manchester,manchester,UK
michigan state university,east lansing,US
indiana state university,terre haute,US
wayne state university,detroit,US
ajou university,suwon,KR
university of nebraska-lincoln,lincoln,US
the catholic university of korea,seoul,KR
the university of texas at austin,austin,US
university of alaska anchorage,anchorage ,US
chosun university,gwangju,KR
hanyang university,seoul,KR
jeju national university,jeju,KR
chonnam national university,gwangju,KR
texas a&m university,college station,US
university of the ryukyus,nishihara,JP
pai chai university,daejeon,KR
virginia polytechnic institute and state university,blacksburg,US
university of western,london,CA 
ehime university,matsuyama,JP
city of hope national medical center,duarte,US
konkuk university,seoul,KR
purdue university,west lafayette,US
illinois state university,normal,US
oregon state university,corvallis,US
university of wisconsin-madison,madison,US
utah state university,logan,US
university of kentucky,lexington,US
oklahoma state university,stillwater,US
jeonbuk national university,jeonju,KR
seonam university,namwon,KR
national islamic university,new delhi,IN
northwestern university,evanston,US
illinois institute of technology,chicago,US
sejong university,seoul,KR
university of science and technology,daejeon,KR
columbia university in the city of new york,new york,US
kyushu university,fukuoka,JP
stony brook university,stony brook,US
baylor university,waco,US
technical university of munich,munich,DE
university of washington,seattle,US
ewha womans university,seoul,KR
stanford university,stanford,US
university of michigan,ann arbor,US
oregon health & science university,portland,US
pasteur institute,paris,FR
university of manitoba,winnipeg,CA
university of cambridge,cambridge,UK
university of chicago,chicago,US
vanderbilt university,nashville,US
the university of arizona,tucson,US
university of southern mississippi,hattiesburg,US
university of seoul,seoul,KR
johns hopkins university,baltimore,US
university of california,berkeley,US
university of erlangen-nuremberg,nuremberg,DE
mcgill university,montreal,CA
gangneung-wonju national university,gangneung,KR
university of illinois at urbana-champaign,champaign,US
north carolina state university,raleigh,US
sunchon national university,suncheon,KR
inje university,gimhae,KR
rhenish friedrich wilhelm university of bonn,bonn,DE
soonchunhyang university,asan,KR
louis pasteur university,strasbourg,FR
pukyong national university,busan,KR
university of hawaii at manoa,honolulu,US
osaka university,suita,JP
karolinska institute,solna,SE
"incheon national university,_x0008_incheon,KR
"
texas tech university,lubbock,US
university of massachusetts amherst,amherst,US
yale university,new haven,US
university of pittsburgh,pittsburgh,US
washington state university,pullman,US
rutgers university,newark,US
hokkaido university,sapporo,JP
hallym university,chuncheon,KR
the university of utah,salt lake city,US
university of ulsan,ulsan,KR
tokyo institute of technology,tokyo,JP
wonkwang university,iksan,KR
university of tsukuba,tsukuba,JP
university of liverpool,liverpool,UK
brown university,providence,US
medical college of georgia,augusta,US
the university of alabama,tuscaloosa,US
university of alabama at birmingham,birmingham,US
king's college london,london,US
sangmyung university,seoul,KR
university of maryland,college park,US
sogang university,seoul,KR
hankuk university of foreign studies,seoul,KR
loyola university chicago,chicago,US
the university of texas health science center at houston,houston,US
sangji university,wonju,KR
acadia university,wolfville,CA
kyonggi university,seoul,KR
the university of tennessee,knoxville,US
university of glasgow,glasgow,UK
university of new south wales,sydney,AU
mokpo national university,muan,KR
dongguk university,gyeongju,KR
william marsh rice university,houston,US
kongju national university,gongju,KR
the catholic university of korea,bucheon,KR
kunsan national university,gunsan,KR
university of missouri,columbia,US
paris-sud university,orsay,FR
university of nottingham,nottingham,UK
kansas state university,manhattan,US
university of georgia,athens,US
daegu university,gyeongsan,KR
keimyung university,daegu,KR
university of oxford,oxford,UK
north dakota state university,fargo,US
korea research institute of bioscience and biotechnology,daejeon,KR
kyung hee university,yongin,KR
university of san francisco,san francisco,US
boston university,boston,US
gangneung-wonju national university,gangneung,KOREA
kagoshima university,kagoshima,JP
university of minnesota-twin cities,minneapolis,US
university of illinois at chicago,chicago,US
hoseo university,asan,KR
university of sydney,sydney,AU
university of rhode island,kingston,US
university of ulsan college of medicine,seoul,KOREA
university of colorado boulder,boulder,US
yeungnam university,gyeongsan,KR
chonnam national university,gwangju,KOREA
pierre and marie curie university,paris,FR
montana state university,bozeman,US
chonnam national university,yeosu,KR
kyoto university,kyoto,JP
kyung hee university,seoul ,KR
the rockefeller university,new york city,US
duke university,durham,US
