0
university of auckland,auckland,NZ
hanyang university,ansan,KR
seoul national university,seoul,KR
iowa state university,ames,US
university of maryland,college park,US
kansas state university,manhattan,US
the university of aizu,aizuwakamatsu,JP
university of minnesota-twin cities,minneapolis,US
university of california,irvine,US
university of massachusetts amherst,amherst,US
university of wisconsin-madison,madison,US
university of california,los angeles,US
indiana university bloomington,bloomington,US
hanyang university,seoul,KR
pennsylvania state university,university park,US
dongyang university,yeongju,KR
kyungpook national university,daegu,KR
kwangwoon university,seoul,KR
pai chai university,daejeon,KR
waseda university,tokyo,JP
tokyo institute of technology,tokyo,JP
korea advanced institute of science and technology,daejeon,KR
sookmyung women's university,seoul,KR
pusan national university,busan,KR
catholic university of pusan,busan,KR
inha university,incheon,KR
korea university,seoul,KR
hongik university,seoul,KR
jeju national university,jeju,KR
chung-ang university,seoul,KR
yonsei university,seoul,KR
baekseok university,cheonan,KR
hanshin university,osan,KR
gwangju institute of science and technology,gwangju,KR
arizona state university,tempe,US
mokwon university,daejeon,KR
university of south carolina,columbia,US
texas state university,san marcos,US
missouri state university,springfield,US
gangneung-wonju national university,gangneung,KR
kangwon national university,chuncheon,KR
chungbuk national university,cheongju,KR
sungkyunkwan university,suwon,KR
honam university,gwangju,KR
university of nebraska-lincoln,lincoln,US
university of eswatini,kwaluseni,SZ
korea national university of transportation,chungju,KR
kyung hee university,seoul,KR
chongju national college of science and technology,cheongju,KR
wonju national university,gangneung,KR
korea university of technology and education,cheonan,KR
virginia polytechnic institute and state university,blacksburg,US
korea aerospace university,goyang,KR
university of new south wales,sydney,AU
university of california,berkeley,US
university of maryland at college park,maryland,US
university of cambridge,cambridge,UK
carnegie mellon university,pittsburgh, US
carnegie mellon university,pittsburgh,US
university of texas,austin,US
georgia institute of technology, atlanta,US
the university of washington,seattle,US
purdue university,west lafayette,US
pohang university of science and technology,pohang,KR
ohio state university,columbus,US
university of illinois at urbana-champaign,urbana and champaign,US
michigan state university,east lansing,US
northwestern university,evanston,US
singapore management university,bras basah,SINGAPORE
columbia university,new york city,US
kings college london,london,UK
george washington university,washington dc,US
university of southern california,los angeles,US
texas a&m university,college town,US
university of bonn,bonn,DE
konkuk university,seoul,KR
texas a&m university,college station,US
university of utah,salt lake city,US
university of ulsan,ulsan,KR
university of michigan,ann arbor,US
university of minnesota,twin cities,US
telecom bretagne,brest,FR
ajou university,suwon,KR
hoseo university,cheonan,KR
benedict college,columbia,US
sogang university,seoul,KR
university of tennessee,knoxville,US
ewha womans university,seoul,KR
seoul venture university,seoul,KR
queen's university,kingston,CA
korea nazarene university,cheonan,KR
national university of singapore,singapore,SG
university of north carloina,charlotte,US
university of brithish columbia,vancouver,CA
michigan state university,ann arbor,US
university of peensylvania,philadelphia,US
university of college london,london,UK
the pennsylvania state university,centre county,US
university of south florida,hillsborough county,US
massachusetts institute of technology,cambridge,US
imperial college london,london,UK
southern methodist university,university park,US
temple university,philadelphia,US
university of massachusetts at amherst,amherst,US
georgia institute of technology,atlanta,US
university of pennsylvania,philadelphia,US
university of florida,gainesville,US
stanford university,stanford,US
university of north carolina,chapel hill,US
university of waterloo,waterloo,CA
sejong university,seoul,KR
free university of berlin,berlin,DE
utrecht university,utrecht,NL
imperial college,london,UK
korea maritime and ocean university,busan,KR
university of franche-comte,besancon,FR
pennsylvania state university,college park,US
university of newcastle,upon tyne,UK
state university of new york polytechnic institute,utica,US
virginia polytechnic institute and sate university,blacksburg,KR
chonnam national university,gwangju,KR
northern illionis university,dekalb,US
kyungdong university,wonju,KR
chosun university,gwangju,KR
syracuse university,syracuse,US
korea advanced institute of science and technology munji camus,daejeon,KR
new york university,new york city,US
tohoku university,sendai,JP
university of arizona,tucson,US
university of texas at dallas,arlington,US
ulsan national institute of science and technology,ulsan,KR
hankuk university of foreign studies,yongin,KR
state university of new york,new york,US
university of hawaii,hawaii,US
hanyang university,ansan,KOREA
university of texas at austin,austin,US
state university of new york at stony brook at korea,songdo,KR
university of wisconsin-milwaukee ,milwaukee,US
dong-a university,busan,KR
stony brook university,stony brook,US
yongin university,yongin,KR
north carolina state university,raleigh,US
university of california,santa barbara,US
chungnam national university,daejeon,KR
kangwon national university,chuncheon-si,KR
indiana university,bloomington,US
roswell park cancer institute,buffalo,US
university of seoul,seoul,KR
state university of new york,buffalo,US
soongsil university,seoul,KR
kongju national university,gongju,KR
old dominion university,norfolk,US
the university of tokyo,tokyo,JP
hallym university,chuncheon,KR
konkuk university glocal campus,chungju,KR
oklahoma state university,stillwater,US
kyushu university,fukuoka,JP
gyeonggi university of science and technology,suwon,KR
university of california,santa cruz,US
new york university,brooklyn,US
jungwon university,goesan,KR
university of minnestona,minneapolis,US
university of cailfornia,los angeles,US
university of toronto,toronto,CA
pusan national university,pusan,KR
lakehead university,thunder bay and orillia,CA
university of colorado at boulder,boulder,US
university of pittsburgh,pittsburgh,US
university of minnesota,minnesota and saint paul,US
wayne state university,detroit,US
kongju national university,kongju,KR
korea military academy,seoul,KR
jeonbuk national university,jeonju,KR
busan university of foreign studies,busan,KR
the university of pennsylvania,philadelphia,US
university of missouri,columbia,US
newcastle university,newcastle,UK
university of houston,houston,US
sungkyul university,anyang,KR
university of washington,seattle,US
mokpo national university,muan,KR
yeungnam national university,gyeongsan,KR
washington state university,pullman,US
yeungnam university,daegu,KR
georgia southern university,statesboro,US
university of york,york,UK
soonchunhyang university,asan,KR
university of lyon,lyon,FR
myongji university,seoul,KR
paul sabatier university,toulouse,FR
sun moon university,cheonan,KR
university of virginia,charlottesville,US
kumoh national institute of technology,gumi,KR
ulsan university,ulsan,KR
the state university of new jersey,new brunswick,US
wonkwang university,iksan,KR
university of southwestern louisiana,lafayette,US
the university of arizona,tucson,US
cleveland state university,cleveland,US
university of california at los angeles,los angeles,US
kookmin university,seoul,KR
gwangju institute of science and techology,gwangju,KR
incheon national university,incheon,KR
soonchunhang university,asan,KR
sunmoon university,asan,KR
university of texas at arlington,arlington,US
youngsan university,busan,KR
university of nevada,las vegas ,US
university of wisconsin-whitewater,whitewater,US
catholic university of korea,seoul,KR
state university of new york korea,incheon,KR
university of south florida,tampa,US
sangmyung university,seoul,KR
university of illinois at chicago,chicago,US
semyung university,jecheon,KR
sangji university,wonju,KR
dongguk university,seoul,KR
seoul womens university,seoul,KR
illinois unstitute of technology,chicago,US
youngsan university,pusan,KR
auburn university,auburn,US
university of texas,arlington,US
new jersey unstitute of technology,newark,US
university of iowa,iowa city,US
kyonggi university,suwon,KR
university of massachusetts,lowell,US
hanbat national university,daejeon,KR
hannam university,daejeon,KR
universirty of maryland,college park,US
kunsan national university,kunsan,KR
portland state university,portland,US
syracuse university,new york,US
choong-ang university,seoul,KR
penn state university,university park,US
university of minnesota,minneapolis,US
cambridge university,cambridge,UK
university of texas austin,austin,US
kyungil university,kyungsan,KR
aizu university,aizuwakamatsu,JP
mongolia international university,ulaanbaatar,MONGOLIA
pusan university of foreign language,busan,KR
gyeongnam national university of science and technology,jinju,KR
hokkaido university,sapporo,JP
kyung hee university,yongin,KR
keio university,tokyo,JP 
ohio university,athens,US
sahmyook university,seoul,KR
vellore institute of technology university,vellore,INDIA
keimyung university,daegu,KR
vanderbilt university,nashville,US
seonam university,namwon,KR
daejeon university,daejeon,KR
chonnam national university,yeosu,KR
university of tokushima,tokushima,JP
kumoh national institution of technology,gumi,KR
daegu university,daegu,KR
ritsumeikan university,kyoto,JP
duke university,durham,US
donga university,busan,KR
university of tsukuba,tsukuba,JP
tongmyung university,busan,KR
kyungnam university,changwon,KR
dong eui university,busan,KR
busan university,busan,KR
paris diderot university,paris,FR
mokpo national maritime university,mokpo,KR
institute national des sciences appliquees de lyon,lyon,FR
korea university,sejong ,KR
lehigh university,bethlehem,US
korea university,sejong,KR
ajou university,gyeonggi-do,KR
seokyeong university,seoul,KR
rutgers university,piscataway,US
baekseok university,cheonanl,KR
dongguk university,seoul,KOREA
cornell university,ithaca,US
university of california irvine,irvine,US
sunghyunkwan university,seoul,KR
new york university,new york,US
texas tech university,texas,US
university of manchester,manchester,UK
andong national university,andong,KR
catholic kwangdong university,gangneung,KR
florida institute of technology,melbourne,US
insitute national des sciences appliquees de lyon,villeurbanne,FR
university of central florida,orlando,US
miryang national university,miryang,KR
donga university,pusan,KR
university of missouri,kansas city,US
pennsylvania state university,centre county,US
north dakota state university,fargo,US
university of north carolina at chapel hill,chapel hill,US
aarhus university,aarhus,DK
innopolis university,innopolis,RU
hong kong university of science and technology,hong kong,CN
university of texas at houston,houston,US
imperical college london,london,UK
seoul national university of science and technology,seoul,KR
university of otago,dunedin,NZ
tongmyong university of information,busan,KR
gachon university,seongnam,KR
osaka prefecture university,osaka,JP
sunchon national university,sunchon,KR
gyeongsang national university,jinju,KR
tongmyong university,busan,KR
texas tech university,lubbock,US
dongseo university,busan,KR
florida state university,tallahassee,US
the university of suwon,hwaseong,KR
inje university,gimhae,KR
illinois institute of technology,chicago,US
uppsala university,uppsala,SE
the university of oklahoma,norman,US
stockholm university,stockholm,WE
tsukuba university,tsukuba,JP
yeungnam university,gyeongsan,KR
texas a&m,college station,US
kyoto university,kyoto,JP
changwon national university,changwon,KR
sungkyunkwan university,_x0008_suwon,KR
dongguk university,gyeongju,KR
university of connecticut,storrs,US
university of colorado boulder,boulder,US
sangji university,seoul,KR
daegu gyeongbuk institute of science and technology,daegu,KR
university of illinois of urbana-champaign,urbana and champaign,US
university of oxford,oxford,UK
university of weterloo,weterloo,CA
suny korea,incheon,KR
tu wien,vienna,AT
university of north carolina at charlotte,charlotte,US
yonsei university,wonju,KR
seowon university,cheongju,KR
baylor university,waco,US
university of massachusetts,amherst,US
university of suwon,suwon,KR
polytechnic institute of new york university,new york city,US
dankook university,yongin,KR
louisiana state university,baton rouge,US
kent state university,kent,US
institute national des sciences appliquees de lyon,villeurbanne,FR
tokai university,tokyo,JP
the state university of new york,buffalo,US
university of north texas,denton,US
kyungnam university,masan,KR
kangwoon university,seoul,KR
center for advanced studies in engineering,islamabad,PK
daewon university college,jecheon,KR
gangneung wonju national university,gangneung,KR
pukyong national university,busan,KR
university of delaware,newark,US
university of wisconsin,madison,US
