0
gwangju institute of science and technology,gwangju,KR
chungbuk national university,cheongju,KR
seoul national university,seoul,KR
kyungpook national university,daegu,KR
sungshin women’s university,seoul,KR
chungbuk national university ,cheongju,KR
korea university,seoul,KR
korea advanced institute of science and technology,daejeon,KR
chung-ang university,seoul,KR
pohang university of science and technology,pohang,KR
kyung hee university,seoul,KR
yonsei university,seoul,KR
chungnam national university,daejeon,KR
hannam university,daejeon,KR
kangwon national university,chuncheon,KR
inha university,incheon,KR
changwon national university,changwon,KR
pusan national university,busan,KR
sungkyunkwan university,suwon,KR
daegu gyeongbuk institute of science and technology,daegu,KR
gyeongsang national university,jinju,KR
chung-ang university,anseong,KR
ajou university,suwon,KR
the catholic university of korea,seoul,KR
chosun university,gwangju,KR
hanyang university,seoul,KR
jeju national university,jeju,KR
chonnam national university,gwangju,KR
pai chai university,daejeon,KR
konkuk university,seoul,KR
jeonbuk national university,jeonju,KR
seonam university,namwon,KR
sejong university,seoul,KR
university of science and technology,daejeon,KR
ewha womans university,seoul,KR
university of seoul,seoul,KR
gangneung-wonju national university,gangneung,KR
sunchon national university,suncheon,KR
inje university,gimhae,KR
soonchunhyang university,asan,KR
pukyong national university,busan,KR
hallym university,chuncheon,KR
university of ulsan,ulsan,KR
wonkwang university,iksan,KR
sangmyung university,seoul,KR
sogang university,seoul,KR
hankuk university of foreign studies,seoul,KR
sangji university,wonju,KR
kyonggi university,seoul,KR
mokpo national university,muan,KR
dongguk university,gyeongju,KR
kongju national university,gongju,KR
the catholic university of korea,bucheon,KR
kunsan national university,gunsan,KR
daegu university,gyeongsan,KR
keimyung university,daegu,KR
korea research institute of bioscience and biotechnology,daejeon,KR
kyung hee university,yongin,KR
hoseo university,asan,KR
yeungnam university,gyeongsan,KR
chonnam national university,yeosu,KR
kyung hee university,seoul ,KR
