0
hanyang university,ansan,KR
seoul national university,seoul,KR
hanyang university,seoul,KR
dongyang university,yeongju,KR
kyungpook national university,daegu,KR
kwangwoon university,seoul,KR
pai chai university,daejeon,KR
korea advanced institute of science and technology,daejeon,KR
sookmyung women's university,seoul,KR
pusan national university,busan,KR
catholic university of pusan,busan,KR
inha university,incheon,KR
korea university,seoul,KR
hongik university,seoul,KR
jeju national university,jeju,KR
chung-ang university,seoul,KR
yonsei university,seoul,KR
baekseok university,cheonan,KR
hanshin university,osan,KR
gwangju institute of science and technology,gwangju,KR
mokwon university,daejeon,KR
gangneung-wonju national university,gangneung,KR
kangwon national university,chuncheon,KR
chungbuk national university,cheongju,KR
sungkyunkwan university,suwon,KR
honam university,gwangju,KR
korea national university of transportation,chungju,KR
kyung hee university,seoul,KR
chongju national college of science and technology,cheongju,KR
wonju national university,gangneung,KR
korea university of technology and education,cheonan,KR
korea aerospace university,goyang,KR
pohang university of science and technology,pohang,KR
konkuk university,seoul,KR
university of ulsan,ulsan,KR
ajou university,suwon,KR
hoseo university,cheonan,KR
sogang university,seoul,KR
ewha womans university,seoul,KR
seoul venture university,seoul,KR
korea nazarene university,cheonan,KR
sejong university,seoul,KR
korea maritime and ocean university,busan,KR
virginia polytechnic institute and sate university,blacksburg,KR
chonnam national university,gwangju,KR
kyungdong university,wonju,KR
chosun university,gwangju,KR
korea advanced institute of science and technology munji camus,daejeon,KR
ulsan national institute of science and technology,ulsan,KR
hankuk university of foreign studies,yongin,KR
state university of new york at stony brook at korea,songdo,KR
dong-a university,busan,KR
yongin university,yongin,KR
chungnam national university,daejeon,KR
kangwon national university,chuncheon-si,KR
university of seoul,seoul,KR
soongsil university,seoul,KR
kongju national university,gongju,KR
hallym university,chuncheon,KR
konkuk university glocal campus,chungju,KR
gyeonggi university of science and technology,suwon,KR
jungwon university,goesan,KR
pusan national university,pusan,KR
kongju national university,kongju,KR
korea military academy,seoul,KR
jeonbuk national university,jeonju,KR
busan university of foreign studies,busan,KR
sungkyul university,anyang,KR
mokpo national university,muan,KR
yeungnam national university,gyeongsan,KR
yeungnam university,daegu,KR
soonchunhyang university,asan,KR
myongji university,seoul,KR
sun moon university,cheonan,KR
kumoh national institute of technology,gumi,KR
ulsan university,ulsan,KR
wonkwang university,iksan,KR
kookmin university,seoul,KR
gwangju institute of science and techology,gwangju,KR
incheon national university,incheon,KR
soonchunhang university,asan,KR
sunmoon university,asan,KR
youngsan university,busan,KR
catholic university of korea,seoul,KR
state university of new york korea,incheon,KR
sangmyung university,seoul,KR
semyung university,jecheon,KR
sangji university,wonju,KR
dongguk university,seoul,KR
seoul womens university,seoul,KR
youngsan university,pusan,KR
kyonggi university,suwon,KR
hanbat national university,daejeon,KR
hannam university,daejeon,KR
kunsan national university,kunsan,KR
choong-ang university,seoul,KR
kyungil university,kyungsan,KR
pusan university of foreign language,busan,KR
gyeongnam national university of science and technology,jinju,KR
kyung hee university,yongin,KR
sahmyook university,seoul,KR
keimyung university,daegu,KR
seonam university,namwon,KR
daejeon university,daejeon,KR
chonnam national university,yeosu,KR
kumoh national institution of technology,gumi,KR
daegu university,daegu,KR
donga university,busan,KR
tongmyung university,busan,KR
kyungnam university,changwon,KR
dong eui university,busan,KR
busan university,busan,KR
mokpo national maritime university,mokpo,KR
korea university,sejong ,KR
korea university,sejong,KR
ajou university,gyeonggi-do,KR
seokyeong university,seoul,KR
baekseok university,cheonanl,KR
sunghyunkwan university,seoul,KR
andong national university,andong,KR
catholic kwangdong university,gangneung,KR
miryang national university,miryang,KR
donga university,pusan,KR
seoul national university of science and technology,seoul,KR
tongmyong university of information,busan,KR
gachon university,seongnam,KR
sunchon national university,sunchon,KR
gyeongsang national university,jinju,KR
tongmyong university,busan,KR
dongseo university,busan,KR
the university of suwon,hwaseong,KR
inje university,gimhae,KR
yeungnam university,gyeongsan,KR
changwon national university,changwon,KR
sungkyunkwan university,_x0008_suwon,KR
dongguk university,gyeongju,KR
sangji university,seoul,KR
daegu gyeongbuk institute of science and technology,daegu,KR
suny korea,incheon,KR
yonsei university,wonju,KR
seowon university,cheongju,KR
university of suwon,suwon,KR
dankook university,yongin,KR
kyungnam university,masan,KR
kangwoon university,seoul,KR
daewon university college,jecheon,KR
gangneung wonju national university,gangneung,KR
pukyong national university,busan,KR
