0
myongji university,yongin,KR
seoul national university,seoul,KR
sungkyunkwan university,suwon,KR
sejong university,seoul,KR
chonnam national university,gwangju,KR
sunchon national university,suncheon,KR
korea advanced institute of science and technology,daejeon,KR
yeungnam university,gyeongsan,KR
myongji university,seoul,KR
yonsei university,seoul,KR
dankook university,cheonan,KR
soongsil university,seoul,KR
korea university,seoul,KR
kyung hee university,seoul,KR
pusan national university,busan,KR
pohang university of science and technology,pohang,KR
sun moon university,asan,KR
soganguniversity,seoul,KR
ewha womans university,seoul,KR
korea national university of education,cheongju,KR
pukyong national university,busan,KR
konkuk university,seoul,KR
kyungpook national university,daegu,KR
andong national university,andong,KR
ulsan national institute of science and technology,ulsan,KR
chungnam national university,daejeon,KR
chungbuk national university,cheongju,KR
handong global university,pohang,KR
kunsan national university,gunsan,KR
dongseo university,busan,KR
hanyang university,seoul,KR
kangwon national university,chuncheon,KR
gwangju institute of science and technology,gwangju,KR
kongju national university,gongju,KR
kookmin university,seoul,KR
kumoh national institute of technology,gumi,KR
university of seoul,seoul,KR
daegu university,gyeongsan,KR
dongguk university,seoul,KR
dankook university,yongin,KR
sogang university,seoul,KR
mokpo national university,muan,KR
konkuk university,chungju,KR
korea institute of science and technology,seoul,KR
gyeongsang national university,jinju,KR
jeonbuk national university,jeonju,KR
jeju national university,jeju,KR
chosun university,gwangju,KR
changwon national university,changwon,KR
kyunghee university,seoul,KR
cheongju university,cheongju,KR
university of science and technology,daejeon,KR
hanyang university,ansan,KR
gachon university,seongnam,KR
gachon univerity,incheon,KR
the catholic university of korea,bucheon,KR
kwangwoon university,seoul,KR
gangneung-wonju national university,gangneung,KR
dong-a university,busan,KR
gwangju university,gwangju,KR
inha university,incheon,KR
ajou university,suwon,KR
soonchunhyang university,asan,KR
hankuk university of foreign studies,seoul,KR
hallym university,chuncheon,KR
sungkyunkwan university,suwon, KR
chung-ang university,seoul,KR
university of ulsan,ulsan,KR
halla university,wonju,KR
yonsei university,wonju,KR
