Rank	Inst
1	seoul national university,seoul,KR
2	korea advanced institute of science and technology,daejeon,KR
3	texas a&m university,college station,US
4	the university of texas at austin,austin,US
5	university of wisconsin-madison,madison,US
6	university of california,davis,US
7	cornell university,ithaca,US
8	pusan national university,busan,KR
9	university of tokyo,tokyo,JP
10	the ohio state university,columbus,US
11	state university of new york,new york,US
12	rutgers university,new brunswick,US
13	harvard university,cambridge,US
14	johns hopkins university,baltimore,US
15	university of north carolina at chapel hill,chapel hill,US
16	california institute of technology,pasadena,US
17	the university of arizona,tucson,US
18	technical university of munich,munich,DE
19	hanyang university,seoul,KR
20	massachusetts institute of technology,cambridge,US
21	kangwon national university,chuncheon,KR
22	washington state university,pullman,US
23	vanderbilt university,nashville,US
24	university of nebraska-lincoln,lincoln,US
25	purdue university,west lafayette,US
26	university of minnesota-twin cities,minneapolis,US
27	university of missouri,columbia,US
28	university of georgia,athens,US
29	gwangju institute of science and technology,gwangju,KR
30	university of new south wales,sydney,AU
31	university of chicago,chicago,US
32	university of washington,seattle,US
33	stanford university,stanford,US
34	university of southern california,los angeles,US
35	florida state university,tallahassee,US
36	osaka university,osaka,JP
37	tufts university,medford,US
38	michigan state university,east lansing,US
39	university of california,los angeles,US
40	the university of tennessee,knoxville,US
41	mcgill university,montreal,CA
42	university of illinois at chicago,chicago,US
43	tokyo institute of technology,tokyo,JP
44	university of illinois at urbana-champaign,champaign,US
45	wayne state university,detroit,US
46	university of michigan,ann arbor,US
47	university of kentucky,lexington,US
48	yale university,new haven,US
49	oregon state university,corvallis,US
50	konkuk university,seoul,KR
51	north carolina state university,raleigh,US
52	ehime university,matsuyama,JP
53	utah state university,logan,US
54	northwestern university,evanston,US
55	the university of alabama,tuscaloosa,US
56	university of cambridge,cambridge,UK
57	university of texas southwestern medical center,dallas,US
58	university of manitoba,winnipeg,CA
59	columbia university in the city of new york,new york,US
60	baylor university,waco,US
61	stony brook university,stony brook,US
62	university of colorado boulder,boulder,US
63	weizmann institute of science,rehovot,IL
64	the rockefeller university,new york city,US
65	university of rhode island,kingston,US
66	university of pittsburgh,pittsburgh,US
67	louis pasteur university,strasbourg,FR
68	rhenish friedrich wilhelm university of bonn,bonn,DE
69	university of glasgow,glasgow,UK
70	university of hawaii at manoa,honolulu,US
71	acadia university,wolfville,CA
72	university of manchester,manchester,UK
73	virginia polytechnic institute and state university,blacksburg,US
74	osaka university,suita,JP
75	karolinska institute,solna,SE
76	kyushu university,fukuoka,JP
77	university of london,london,UK
78	university of tsukuba,tsukuba,JP
79	university of liverpool,liverpool,UK
80	university of maryland,college park,US
81	university of the ryukyus,nishihara,JP
82	friedrich schiller university,jena,DE
83	louisiana state university,baton rouge,US
84	brown university,providence,US
85	medical college of georgia,augusta,US
86	william marsh rice university,houston,US
87	university of san francisco,san francisco,US
88	university of southern mississippi,hattiesburg,US
89	university of erlangen-nuremberg,nuremberg,DE
90	national islamic university,new delhi,IN
91	oklahoma state university,stillwater,US
92	illinois institute of technology,chicago,US
93	the university of utah,salt lake city,US
94	the university of texas health science center at houston,houston,US
95	loyola university chicago,chicago,US
96	the catholic university of korea,seoul,KR
97	indiana state university,terre haute,US
98	north dakota state university,fargo,US
99	university of oxford,oxford,UK
100	korea research institute of bioscience and biotechnology,daejeon,KR
101	kagoshima university,kagoshima,JP
102	city of hope national medical center,duarte,US
103	illinois state university,normal,US
104	university of western,london,CA 
105	montana state university,bozeman,US
106	duke university,durham,US
107	university of sydney,sydney,AU
108	kyoto university,kyoto,JP
109	university of alabama at birmingham,birmingham,US
110	king's college london,london,US
111	kansas state university,manhattan,US
112	university of nottingham,nottingham,UK
113	paris-sud university,orsay,FR
114	pasteur institute,paris,FR
115	university of massachusetts amherst,amherst,US
116	pierre and marie curie university,paris,FR
117	hokkaido university,sapporo,JP
118	rutgers university,newark,US
119	university of california,berkeley,US
120	university of virginia,charlottesville,US
121	university of maryland,baltimore,US
122	oregon health & science university,portland,US
123	kyungpook national university,daegu,KR
124	sungkyunkwan university,suwon,KR
125	texas tech university,lubbock,US
126	hoseo university,asan,KR
127	kyonggi university,seoul,KR
128	university of california,santa barbara,US
129	kyung hee university,seoul ,KR
130	chonnam national university,yeosu,KR
131	university of alaska anchorage,anchorage ,US
132	yeungnam university,gyeongsan,KR
133	kongju national university,gongju,KR
134	hankuk university of foreign studies,seoul,KR
