Rank	Inst
1	seoul national university,seoul,KR
2	korea advanced institute of science and technology,daejeon,KR
3	korea university,seoul,KR
4	university of southern california,los angeles,US
5	yonsei university,seoul,KR
6	university of illinois at urbana-champaign,urbana and champaign,US
7	university of maryland,college park,US
8	kyungpook national university,daegu,KR
9	purdue university,west lafayette,US
10	university of texas,austin,US
11	chung-ang university,seoul,KR
12	university of california,los angeles,US
13	georgia institute of technology,atlanta,US
14	university of michigan,ann arbor,US
15	university of florida,gainesville,US
16	pennsylvania state university,university park,US
17	texas a&m university,college station,US
18	syracuse university,syracuse,US
19	university of pennsylvania,philadelphia,US
20	pusan national university,busan,KR
21	iowa state university,ames,US
22	carnegie mellon university,pittsburgh,US
23	university of minnesota,minneapolis,US
24	university of california,berkeley,US
25	university of texas at austin,austin,US
26	arizona state university,tempe,US
27	busan university,busan,KR
28	soongsil university,seoul,KR
29	virginia polytechnic institute and state university,blacksburg,US
30	northwestern university,evanston,US
31	stanford university,stanford,US
32	university of wisconsin-madison,madison,US
33	polytechnic institute of new york university,new york city,US
34	inha university,incheon,KR
35	university of tsukuba,tsukuba,JP
36	university of california,irvine,US
37	ohio state university,columbus,US
38	university of cambridge,cambridge,UK
39	university of utah,salt lake city,US
40	michigan state university,ann arbor,US
41	chonnam national university,gwangju,KR
42	hong kong university of science and technology,hong kong,CN
43	north carolina state university,raleigh,US
44	state university of new york,new york,US
45	sookmyung women's university,seoul,KR
46	tokyo institute of technology,tokyo,JP
47	university of waterloo,waterloo,CA
48	kyung hee university,seoul,KR
49	illinois institute of technology,chicago,US
50	pohang university of science and technology,pohang,KR
51	chungbuk national university,cheongju,KR
52	massachusetts institute of technology,cambridge,US
53	university of minnesota,twin cities,US
54	university of north carolina,chapel hill,US
55	university of massachusetts at amherst,amherst,US
56	cornell university,ithaca,US
57	indiana university,bloomington,US
58	the university of tokyo,tokyo,JP
59	state university of new york,buffalo,US
60	columbia university,new york city,US
61	waseda university,tokyo,JP
62	university of arizona,tucson,US
63	university of illinois at chicago,chicago,US
64	wayne state university,detroit,US
65	university of texas at arlington,arlington,US
66	university of nebraska-lincoln,lincoln,US
67	lehigh university,bethlehem,US
68	university of manchester,manchester,UK
69	university of north carolina at chapel hill,chapel hill,US
70	university of connecticut,storrs,US
71	cambridge university,cambridge,UK
72	vanderbilt university,nashville,US
73	michigan state university,east lansing,US
74	university of minnestona,minneapolis,US
75	paul sabatier university,toulouse,FR
76	auburn university,auburn,US
77	texas a&m university,college town,US
78	the university of washington,seattle,US
79	university of maryland at college park,maryland,US
80	telecom bretagne,brest,FR
81	university of california irvine,irvine,US
82	university of college london,london,UK
83	university of texas austin,austin,US
84	university of brithish columbia,vancouver,CA
85	university of peensylvania,philadelphia,US
87	kings college london,london,UK
88	rutgers university,piscataway,US
89	the state university of new york,buffalo,US
90	tu wien,vienna,AT
91	washington state university,pullman,US
92	university of york,york,UK
93	university of southwestern louisiana,lafayette,US
94	university of california at los angeles,los angeles,US
95	university of oxford,oxford,UK
96	university of illinois of urbana-champaign,urbana and champaign,US
97	university of weterloo,weterloo,CA
98	free university of berlin,berlin,DE
99	sungkyunkwan university,_x0008_suwon,KR
100	kansas state university,manhattan,US
101	aarhus university,aarhus,DK
102	southern methodist university,university park,US
103	the pennsylvania state university,centre county,US
104	syracuse university,new york,US
105	aizu university,aizuwakamatsu,JP
106	the university of arizona,tucson,US
107	ohio university,athens,US
108	texas state university,san marcos,US
109	university of nevada,las vegas ,US
110	university of california,santa barbara,US
111	institute national des sciences appliquees de lyon,lyon,FR
112	florida state university,tallahassee,US
113	florida institute of technology,melbourne,US
114	universirty of maryland,college park,US
115	portland state university,portland,US
116	the university of pennsylvania,philadelphia,US
117	newcastle university,newcastle,UK
118	university of missouri,columbia,US
119	ritsumeikan university,kyoto,JP
120	university of franche-comte,besancon,FR
121	duke university,durham,US
122	university of newcastle,upon tyne,UK
123	virginia polytechnic institute and sate university,blacksburg,KR
124	imperial college,london,UK
125	state university of new york polytechnic institute,utica,US
126	university of south carolina,columbia,US
127	new york university,new york,US
128	texas tech university,texas,US
129	the university of oklahoma,norman,US
130	uppsala university,uppsala,SE
131	stockholm university,stockholm,WE
132	texas tech university,lubbock,US
133	northern illionis university,dekalb,US
134	university of colorado at boulder,boulder,US
135	university of minnesota,minnesota and saint paul,US
136	university of washington,seattle,US
137	tohoku university,sendai,JP
