Rank	Inst
1	seoul national university,seoul,KR
2	korea advanced institute of science and technology,daejeon,KR
3	the university of texas at austin,austin,US
4	purdue university,west lafayette,US
5	university of california,berkeley,US
6	yonsei university,seoul,KR
7	northwestern university,evanston,US
8	university of michigan,ann arbor,US
9	university of pennsylvania,philadelphia,US
10	massachusetts institute of technology,cambridge,US
11	brown university,providence,US
12	university of maryland,college park,US
13	university of illinois at urbana-champaign,champaign,US
14	california institute of technology,pasadena,US
15	university of florida,gainesville,US
16	iowa state university,ames,US
17	the ohio state university,columbus,US
18	stanford university,stanford,US
19	korea institute of science and technology,seoul,KR
20	the university of arizona,tucson,US
21	north carolina state university,raleigh,US
22	rutgers university,new brunswick,US
23	yale university,new haven,US
24	columbia university in the city of new york,new york,US
25	harvard university,cambridge,US
26	johns hopkins university,baltimore,US
27	pennsylvania state university,university park,US
28	university of rochester,rochester,US
29	gwangju institute of science and technology,gwangju,KR
30	paris-sud university,orsay,FR
31	cornell university,ithaca,US
32	stony brook university,stony brook,US
33	university of cambridge,cambridge,UK
34	indiana university bloomington,bloomington,US
35	university of california,san diego,US
36	university of chicago,chicago,US
37	university of wisconsin-madison,madison,US
38	university of washington,seattle,US
39	washington university in st. louis,st. louis,US
40	pohang university of science and technology,pohang,KR
41	princeton university,princeton,US
42	university of minnesota-twin cities,minneapolis,US
43	brandeis university,waltham,US
44	university of colorado boulder,boulder,US
45	university of georgia,athens,US
46	tohoku university,sendai,JP
47	university of nebraska-lincoln,lincoln,US
48	university of california,los angeles,US
49	state university of new york,new york,US
50	osaka university,osaka,JP
51	syracuse university,syracuse,US
52	michigan state university, east lansing,US
53	sogang university,seoul,KR
54	queens university belfast,belfast,UK
55	hiroshima university,higashi-hiroshima,JP
56	kyunghee university,seoul,KR
58	university of houston,houston,US
59	korea advanced institute of science and technology,daejeon,KR 
60	university of cologne,cologne,DE
61	tokyo institute of technology,tokyo,JP
62	myongji university,seoul,KR
63	soganguniversity,seoul,KR
64	texas a&m university,college station,US
65	kent state university,kent,US
66	university of notre dame, notre dame,US
67	university of wisconsin - madison,madison,US
68	university of california,davis,US
69	alabama a&m university,huntsville,US
70	northeastern university,boston,US
71	budapest university of technology and economics,budapest,HU
72	university of connecticut,storrs,US
73	paris sud university,orsay,FR
74	temple university,philadelphia,US
75	universite louis pasteur strasbourg,strasbourg,FR
76	polytechnic university of milan,milan,IT
77	university of oxford,oxford,UK
78	university of edinburgh,edinbhurgh,UK
79	"university of cambridge,cambridge,UK
"
80	university of glasgow,glasgow,UK
81	duke university,durham,US
82	gifu university,gifu,JP
83	delhi university,new delhi,IN
84	the university of tokyo,tokyo,JP
85	university of warwick,coventry,UK
86	university paris diderot,paris,FR
88	university of california,oakland,US
89	university of oregon,eugene,US
90	university of tübingen,tübingen,DE
91	university of tohoku,sendai,JP
92	kentucky state university,frankfort,US
93	university of california,irvine,US
94	state university of new york,buffalo,US
95	university of cincinnati,cincinnati,US
96	royal institute of technology,stockholm,SE
97	korea national university of education,cheongju,KR
98	university of central florida,orlando,US
99	university of marburg,marburg,DE
100	university of kansas,lawrence,US
101	university of bristol,bristol,UK
102	technical university of berlin,berlin,DE
103	university of tokyo,bunkyo,JP
104	imperial college,london,UK
105	national university of uzbekistan,tashkent,UZ
106	university of new mexico,albuquerque,US
107	university of toronto,toronto,CA
108	the university of tennessee,knoxville,US
109	kyoto university,kyoto,JP
110	eberhard karls university of tubingen,tubingen,DE
111	university of tokyo,tokyo,JP
112	university of pittsburgh,pittsburgh,US
113	california state university,northridge,US
114	university of science and technology,daejeon,KR
115	hampton university,hampton,US
116	university of strathclyde,glasgow,UK
117	florida state university,tallahassee,US
118	sun moon university,asan,KR
119	tohoku university,miyagi,JP
120	university of missouri,columbia,US
121	university of dayton,dayton,US
123	handong global university,pohang,KR
124	dongseo university,busan,KR
125	halla university,wonju,KR
126	university of tsukuba,tsukuba,JP
127	arkansas state university,jonesboro,US
128	university of massachusetts lowell,lowell,US
129	cheongju university,cheongju,KR
130	gwangju university,gwangju,KR
131	konkuk university,chungju,KR
132	gangneung-wonju national university,gangneung,KR
133	sunchon national university,suncheon,KR
134	hallym university,chuncheon,KR
135	dankook university,yongin,KR
136	gachon univerity,incheon,KR
137	dongguk university,seoul,KR
138	the catholic university of korea,bucheon,KR
139	chosun university,gwangju,KR
140	kongju national university,gongju,KR
