Rank	Inst	In-deg	Out-deg
1	seoul national university,seoul,KR	25	176
2	korea advanced institute of science and technology,daejeon,KR	37	162
3	korea university,seoul,KR	16	47
4	university of southern california,los angeles,US	0	27
5	yonsei university,seoul,KR	14	33
6	university of illinois at urbana-champaign,urbana and champaign,US	0	18
7	university of maryland,college park,US	0	17
8	kyungpook national university,daegu,KR	4	21
9	purdue university,west lafayette,US	0	17
10	university of texas,austin,US	0	13
11	chung-ang university,seoul,KR	15	28
12	university of california,los angeles,US	0	13
13	georgia institute of technology,atlanta,US	0	11
14	university of michigan,ann arbor,US	0	11
15	university of florida,gainesville,US	0	11
16	pennsylvania state university,university park,US	0	10
17	texas a&m university,college station,US	1	11
18	syracuse university,syracuse,US	0	9
19	university of pennsylvania,philadelphia,US	0	8
20	pusan national university,busan,KR	0	8
21	iowa state university,ames,US	0	8
22	carnegie mellon university,pittsburgh,US	0	7
23	university of minnesota,minneapolis,US	0	7
24	university of california,berkeley,US	0	6
25	university of texas at austin,austin,US	0	6
26	arizona state university,tempe,US	0	6
27	busan university,busan,KR	0	6
28	soongsil university,seoul,KR	4	9
29	virginia polytechnic institute and state university,blacksburg,US	0	5
30	northwestern university,evanston,US	0	5
31	stanford university,stanford,US	0	5
32	university of wisconsin-madison,madison,US	0	5
33	polytechnic institute of new york university,new york city,US	0	5
34	inha university,incheon,KR	7	11
35	university of tsukuba,tsukuba,JP	0	4
36	university of california,irvine,US	0	4
37	ohio state university,columbus,US	1	4
38	university of cambridge,cambridge,UK	0	3
39	university of utah,salt lake city,US	0	3
40	michigan state university,ann arbor,US	0	3
41	chonnam national university,gwangju,KR	5	8
42	hong kong university of science and technology,hong kong,CN	0	3
43	north carolina state university,raleigh,US	1	4
44	state university of new york,new york,US	0	3
45	sookmyung women's university,seoul,KR	0	3
46	tokyo institute of technology,tokyo,JP	0	3
47	university of waterloo,waterloo,CA	0	3
48	kyung hee university,seoul,KR	0	3
49	illinois institute of technology,chicago,US	0	3
50	pohang university of science and technology,pohang,KR	33	34
51	chungbuk national university,cheongju,KR	7	9
52	massachusetts institute of technology,cambridge,US	0	2
53	university of minnesota,twin cities,US	0	2
54	university of north carolina,chapel hill,US	0	2
55	university of massachusetts at amherst,amherst,US	0	2
56	cornell university,ithaca,US	0	2
57	indiana university,bloomington,US	0	2
58	the university of tokyo,tokyo,JP	0	2
59	state university of new york,buffalo,US	0	2
60	columbia university,new york city,US	0	2
61	waseda university,tokyo,JP	0	2
62	university of arizona,tucson,US	0	2
63	university of illinois at chicago,chicago,US	0	2
64	wayne state university,detroit,US	0	2
65	university of texas at arlington,arlington,US	1	3
66	university of nebraska-lincoln,lincoln,US	0	2
67	lehigh university,bethlehem,US	0	2
68	university of manchester,manchester,UK	0	2
69	university of north carolina at chapel hill,chapel hill,US	0	2
70	university of connecticut,storrs,US	0	2
71	cambridge university,cambridge,UK	0	2
72	vanderbilt university,nashville,US	0	2
73	michigan state university,east lansing,US	1	3
74	university of minnestona,minneapolis,US	0	2
75	paul sabatier university,toulouse,FR	0	2
76	auburn university,auburn,US	0	2
77	texas a&m university,college town,US	0	1
78	the university of washington,seattle,US	0	1
79	university of maryland at college park,maryland,US	0	1
80	telecom bretagne,brest,FR	0	1
81	university of california irvine,irvine,US	0	1
82	university of college london,london,UK	0	1
83	university of texas austin,austin,US	0	1
84	university of brithish columbia,vancouver,CA	0	1
85	university of peensylvania,philadelphia,US	0	1
87	kings college london,london,UK	1	2
88	rutgers university,piscataway,US	0	1
89	the state university of new york,buffalo,US	0	1
90	tu wien,vienna,AT	0	1
91	washington state university,pullman,US	0	1
92	university of york,york,UK	0	1
93	university of southwestern louisiana,lafayette,US	0	1
94	university of california at los angeles,los angeles,US	0	1
95	university of oxford,oxford,UK	0	1
96	university of illinois of urbana-champaign,urbana and champaign,US	0	1
97	university of weterloo,weterloo,CA	0	1
98	free university of berlin,berlin,DE	0	1
99	sungkyunkwan university,_x0008_suwon,KR	0	1
100	kansas state university,manhattan,US	0	1
101	aarhus university,aarhus,DK	0	1
102	southern methodist university,university park,US	0	1
103	the pennsylvania state university,centre county,US	0	1
104	syracuse university,new york,US	0	1
105	aizu university,aizuwakamatsu,JP	0	1
106	the university of arizona,tucson,US	0	1
107	ohio university,athens,US	0	1
108	texas state university,san marcos,US	0	1
109	university of nevada,las vegas ,US	0	1
110	university of california,santa barbara,US	0	1
111	institute national des sciences appliquees de lyon,lyon,FR	0	1
112	florida state university,tallahassee,US	0	1
113	florida institute of technology,melbourne,US	0	1
114	universirty of maryland,college park,US	0	1
115	portland state university,portland,US	0	1
116	the university of pennsylvania,philadelphia,US	0	1
117	newcastle university,newcastle,UK	0	1
118	university of missouri,columbia,US	0	1
119	ritsumeikan university,kyoto,JP	0	1
120	university of franche-comte,besancon,FR	0	1
121	duke university,durham,US	0	1
122	university of newcastle,upon tyne,UK	0	1
123	virginia polytechnic institute and sate university,blacksburg,KR	0	1
124	imperial college,london,UK	0	1
125	state university of new york polytechnic institute,utica,US	0	1
126	university of south carolina,columbia,US	1	2
127	new york university,new york,US	0	1
128	texas tech university,texas,US	0	1
129	the university of oklahoma,norman,US	0	1
130	uppsala university,uppsala,SE	0	1
131	stockholm university,stockholm,WE	0	1
132	texas tech university,lubbock,US	0	1
133	northern illionis university,dekalb,US	0	1
134	university of colorado at boulder,boulder,US	0	1
135	university of minnesota,minnesota and saint paul,US	0	1
136	university of washington,seattle,US	0	1
137	tohoku university,sendai,JP	1	2
138	kyoto university,kyoto,JP	0	1
139	texas a&m,college station,US	0	1
140	tsukuba university,tsukuba,JP	0	1
141	vellore institute of technology university,vellore,INDIA	0	1
142	keio university,tokyo,JP 	0	1
143	university of south florida,tampa,US	0	1
