Rank	Inst	In-deg	Out-deg
1	seoul national university,seoul,KR	12	94
2	korea advanced institute of science and technology,daejeon,KR	1	34
3	pusan national university,busan,KR	0	7
4	korea university,seoul,KR	13	17
5	pohang university of science and technology,pohang,KR	11	15
6	gwangju institute of science and technology,gwangju,KR	0	5
7	hanyang university,seoul,KR	1	4
8	kangwon national university,chuncheon,KR	0	3
9	yonsei university,seoul,KR	9	11
10	ajou university,suwon,KR	2	3
11	pukyong national university,busan,KR	3	4
12	the catholic university of korea,seoul,KR	0	1
13	korea research institute of bioscience and biotechnology,daejeon,KR	0	1
14	konkuk university,seoul,KR	0	1
15	university of science and technology,daejeon,KR	1	1
16	soonchunhyang university,asan,KR	0	0
17	hankuk university of foreign studies,seoul,KR	0	0
18	yeungnam university,gyeongsan,KR	0	0
19	kyungpook national university,daegu,KR	1	1
20	sogang university,seoul,KR	3	2
21	sungshin women’s university,seoul,KR	2	1
22	the catholic university of korea,bucheon,KR	1	0
23	kyung hee university,seoul ,KR	1	0
24	hoseo university,asan,KR	1	0
25	kyonggi university,seoul,KR	1	0
26	chonnam national university,yeosu,KR	1	0
27	kongju national university,gongju,KR	1	0
28	daegu gyeongbuk institute of science and technology,daegu,KR	1	0
29	chung-ang university,anseong,KR	1	0
30	chungbuk national university ,cheongju,KR	1	0
31	inje university,gimhae,KR	1	0
32	university of seoul,seoul,KR	2	0
33	mokpo national university,muan,KR	2	0
34	sungkyunkwan university,suwon,KR	3	1
35	sejong university,seoul,KR	2	0
36	sunchon national university,suncheon,KR	3	1
37	seonam university,namwon,KR	2	0
38	wonkwang university,iksan,KR	2	0
39	keimyung university,daegu,KR	3	0
40	chungnam national university,daejeon,KR	8	4
41	daegu university,gyeongsan,KR	3	0
42	inha university,incheon,KR	7	2
43	pai chai university,daejeon,KR	3	0
44	sangji university,wonju,KR	3	0
45	chung-ang university,seoul,KR	12	7
46	hallym university,chuncheon,KR	4	0
47	kyung hee university,yongin,KR	5	1
48	jeju national university,jeju,KR	5	1
49	chosun university,gwangju,KR	5	1
50	university of ulsan,ulsan,KR	5	0
51	jeonbuk national university,jeonju,KR	11	6
52	changwon national university,changwon,KR	4	0
53	kyung hee university,seoul,KR	9	4
54	dongguk university,gyeongju,KR	5	0
55	chungbuk national university,cheongju,KR	9	4
56	chonnam national university,gwangju,KR	11	6
57	sangmyung university,seoul,KR	5	0
58	hannam university,daejeon,KR	8	2
59	ewha womans university,seoul,KR	8	1
60	kunsan national university,gunsan,KR	7	0
61	gangneung-wonju national university,gangneung,KR	8	0
62	gyeongsang national university,jinju,KR	18	5
