Rank	Inst	In-deg	Out-deg
1	seoul national university,seoul,KR	14	134
2	korea advanced institute of science and technology,daejeon,KR	17	69
3	yonsei university,seoul,KR	2	24
4	pohang university of science and technology,pohang,KR	11	22
5	korea university,seoul,KR	11	20
6	gwangju institute of science and technology,gwangju,KR	0	6
7	korea institute of science and technology,seoul,KR	0	4
8	sogang university,seoul,KR	3	6
9	ewha womans university,seoul,KR	2	5
10	sungkyunkwan university,suwon, KR	0	0
11	soganguniversity,seoul,KR	0	1
12	kyunghee university,seoul,KR	0	1
13	myongji university,seoul,KR	0	1
14	korea national university of education,cheongju,KR	0	1
15	dongguk university,seoul,KR	1	1
16	gwangju university,gwangju,KR	0	0
17	halla university,wonju,KR	0	0
18	hallym university,chuncheon,KR	0	0
20	the catholic university of korea,bucheon,KR	0	0
21	handong global university,pohang,KR	0	0
22	dongseo university,busan,KR	0	0
23	kyung hee university,seoul,KR	4	3
24	university of science and technology,daejeon,KR	1	0
25	yonsei university,wonju,KR	1	0
26	sun moon university,asan,KR	1	0
27	chosun university,gwangju,KR	1	0
28	cheongju university,cheongju,KR	1	0
29	hankuk university of foreign studies,seoul,KR	2	0
30	university of seoul,seoul,KR	4	1
31	konkuk university,chungju,KR	2	0
32	kongju national university,gongju,KR	2	0
33	dankook university,cheonan,KR	3	1
34	gangneung-wonju national university,gangneung,KR	2	0
35	sunchon national university,suncheon,KR	2	0
36	dankook university,yongin,KR	2	0
37	hanyang university,ansan,KR	3	0
38	gachon univerity,incheon,KR	2	0
39	changwon national university,changwon,KR	2	0
40	gachon university,seongnam,KR	3	0
41	myongji university,yongin,KR	4	0
42	mokpo national university,muan,KR	3	0
43	dong-a university,busan,KR	3	0
44	soonchunhyang university,asan,KR	3	0
45	kumoh national institute of technology,gumi,KR	4	0
46	kyungpook national university,daegu,KR	10	4
47	sejong university,seoul,KR	4	0
48	kwangwoon university,seoul,KR	5	0
49	daegu university,gyeongsan,KR	5	0
50	yeungnam university,gyeongsan,KR	6	1
51	soongsil university,seoul,KR	6	0
52	ulsan national institute of science and technology,ulsan,KR	10	2
53	konkuk university,seoul,KR	8	1
54	andong national university,andong,KR	5	0
55	pusan national university,busan,KR	13	6
56	kookmin university,seoul,KR	5	0
57	kangwon national university,chuncheon,KR	6	0
58	chung-ang university,seoul,KR	7	0
59	university of ulsan,ulsan,KR	7	0
60	gyeongsang national university,jinju,KR	6	0
61	kunsan national university,gunsan,KR	6	0
62	inha university,incheon,KR	7	0
63	jeju national university,jeju,KR	6	0
64	hanyang university,seoul,KR	10	1
65	chungnam national university,daejeon,KR	12	2
66	ajou university,suwon,KR	9	0
67	jeonbuk national university,jeonju,KR	12	1
68	pukyong national university,busan,KR	9	0
69	chonnam national university,gwangju,KR	15	1
70	chungbuk national university,cheongju,KR	13	0
