Rank	Inst	In-deg	Out-deg
1	seoul national university,seoul,KR	30	139
2	korea advanced institute of science and technology,daejeon,KR	30	72
3	the university of texas at austin,austin,US	1	15
4	purdue university,west lafayette,US	0	13
5	university of california,berkeley,US	0	11
6	yonsei university,seoul,KR	13	25
7	northwestern university,evanston,US	0	11
8	university of michigan,ann arbor,US	0	10
9	university of pennsylvania,philadelphia,US	0	9
10	massachusetts institute of technology,cambridge,US	0	7
11	brown university,providence,US	0	7
12	university of maryland,college park,US	0	7
13	university of illinois at urbana-champaign,champaign,US	1	8
14	california institute of technology,pasadena,US	0	6
15	university of florida,gainesville,US	1	7
16	iowa state university,ames,US	0	6
17	the ohio state university,columbus,US	0	6
18	stanford university,stanford,US	0	5
19	korea institute of science and technology,seoul,KR	0	5
20	the university of arizona,tucson,US	0	5
21	north carolina state university,raleigh,US	0	5
22	rutgers university,new brunswick,US	0	5
23	yale university,new haven,US	0	4
24	columbia university in the city of new york,new york,US	0	4
25	harvard university,cambridge,US	1	5
26	johns hopkins university,baltimore,US	0	4
27	pennsylvania state university,university park,US	0	4
28	university of rochester,rochester,US	0	4
29	gwangju institute of science and technology,gwangju,KR	3	7
30	paris-sud university,orsay,FR	0	3
31	cornell university,ithaca,US	0	3
32	stony brook university,stony brook,US	0	3
33	university of cambridge,cambridge,UK	0	3
34	indiana university bloomington,bloomington,US	0	3
35	university of california,san diego,US	0	3
36	university of chicago,chicago,US	0	3
37	university of wisconsin-madison,madison,US	0	3
38	university of washington,seattle,US	0	3
39	washington university in st. louis,st. louis,US	0	3
40	pohang university of science and technology,pohang,KR	24	25
41	princeton university,princeton,US	0	2
42	university of minnesota-twin cities,minneapolis,US	0	2
43	brandeis university,waltham,US	0	2
44	university of colorado boulder,boulder,US	0	2
45	university of georgia,athens,US	0	2
46	tohoku university,sendai,JP	0	2
47	university of nebraska-lincoln,lincoln,US	0	2
48	university of california,los angeles,US	0	2
49	state university of new york,new york,US	0	2
50	osaka university,osaka,JP	0	2
51	syracuse university,syracuse,US	0	2
52	michigan state university, east lansing,US	0	1
53	sogang university,seoul,KR	6	7
54	queens university belfast,belfast,UK	0	1
55	hiroshima university,higashi-hiroshima,JP	0	1
56	kyunghee university,seoul,KR	0	1
58	university of houston,houston,US	0	1
59	korea advanced institute of science and technology,daejeon,KR 	0	1
60	university of cologne,cologne,DE	0	1
61	tokyo institute of technology,tokyo,JP	0	1
62	myongji university,seoul,KR	0	1
63	soganguniversity,seoul,KR	0	1
64	texas a&m university,college station,US	0	1
65	kent state university,kent,US	0	1
66	university of notre dame, notre dame,US	0	1
67	university of wisconsin - madison,madison,US	0	1
68	university of california,davis,US	0	1
69	alabama a&m university,huntsville,US	0	1
70	northeastern university,boston,US	0	1
71	budapest university of technology and economics,budapest,HU	0	1
72	university of connecticut,storrs,US	0	1
73	paris sud university,orsay,FR	0	1
74	temple university,philadelphia,US	0	1
75	universite louis pasteur strasbourg,strasbourg,FR	0	1
76	polytechnic university of milan,milan,IT	0	1
77	university of oxford,oxford,UK	0	1
78	university of edinburgh,edinbhurgh,UK	0	1
79	"university of cambridge,cambridge,UK
"	0	1
80	university of glasgow,glasgow,UK	0	1
81	duke university,durham,US	0	1
82	gifu university,gifu,JP	0	1
83	delhi university,new delhi,IN	0	1
84	the university of tokyo,tokyo,JP	0	1
85	university of warwick,coventry,UK	0	1
86	university paris diderot,paris,FR	0	1
88	university of california,oakland,US	0	1
89	university of oregon,eugene,US	0	1
90	university of tübingen,tübingen,DE	0	1
91	university of tohoku,sendai,JP	0	1
92	kentucky state university,frankfort,US	0	1
93	university of california,irvine,US	0	1
94	state university of new york,buffalo,US	0	1
95	university of cincinnati,cincinnati,US	0	1
96	royal institute of technology,stockholm,SE	0	1
97	korea national university of education,cheongju,KR	0	1
98	university of central florida,orlando,US	0	1
99	university of marburg,marburg,DE	0	1
